area_code,area_name,display_level,selectable,sort_sequence
0000,U.S. city average,0,T,1,
0100,Northeast,0,T,5,
0110,New England,1,T,10,
0120,Middle Atlantic,1,T,11,
0200,Midwest,0,T,14,
0230,East North Central,1,T,23,
0240,West North Central,1,T,24,
0300,South,0,T,28,
0350,South Atlantic,1,T,37,
0360,East South Central,1,T,38,
0370,West South Central,1,T,39,
0400,West,0,T,43,
0480,Mountain,1,T,55,
0490,Pacific,1,T,56,
A104,"Pittsburgh, PA",1,T,9,
A210,"Cleveland-Akron, OH",1,T,19,
A212,"Milwaukee-Racine, WI",1,T,20,
A213,"Cincinnati-Hamilton, OH-KY-IN",1,T,21,
A214,"Kansas City, MO-KS",1,T,22,
A311,"Washington-Baltimore, DC-MD-VA-WV",1,T,36,
A421,"Los Angeles-Riverside-Orange County, CA",1,T,53,
A425,"Portland-Salem, OR-WA",1,T,54,
D000,Size Class D,0,T,4,
D200,Midwest - Size Class D,1,T,27,
D300,South - Size Class D,1,T,42,
N000,Size Class B/C,0,T,3,
N100,Northeast - Size Class B/C,1,T,13,
N200,Midwest - Size Class B/C,1,T,26,
N300,South - Size Class B/C,1,T,41,
N400,West - Size Class B/C,1,T,58,
S000,Size Class A,0,T,2,
S100,Northeast - Size Class A,1,T,12,
S11A,"Boston-Cambridge-Newton, MA-NH",1,T,8,
S12A,"New York-Newark-Jersey City, NY-NJ-PA",1,T,6,
S12B,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,T,7,
S200,Midwest - Size Class A,1,T,25,
S23A,"Chicago-Naperville-Elgin, IL-IN-WI",1,T,15,
S23B,"Detroit-Warren-Dearborn, MI",1,T,16,
S24A,"Minneapolis-St.Paul-Bloomington, MN-WI",1,T,17,
S24B,"St. Louis, MO-IL",1,T,18,
S300,South - Size Class A,1,T,40,
S35A,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,T,34,
S35B,"Miami-Fort Lauderdale-West Palm Beach, FL",1,T,32,
S35C,"Atlanta-Sandy Springs-Roswell, GA",1,T,29,
S35D,"Tampa-St. Petersburg-Clearwater, FL",1,T,33,
S35E,"Baltimore-Columbia-Towson, MD",1,T,35,
S37A,"Dallas-Fort Worth-Arlington, TX",1,T,30,
S37B,"Houston-The Woodlands-Sugar Land, TX",1,T,31,
S400,West - Size Class A,1,T,57,
S48A,"Phoenix-Mesa-Scottsdale, AZ",1,T,49,
S48B,"Denver-Aurora-Lakewood, CO",1,T,45,
S49A,"Los Angeles-Long Beach-Anaheim, CA",1,T,47,
S49B,"San Francisco-Oakland-Hayward, CA",1,T,51,
S49C,"Riverside-San Bernardino-Ontario, CA",1,T,48,
S49D,Seattle-Tacoma-Bellevue WA,1,T,52,
S49E,"San Diego-Carlsbad, CA",1,T,50,
S49F,Urban Hawaii,1,T,46,
S49G,Urban Alaska,1,T,44,
